"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","United States!!Percent","United States!!Percent Margin of Error","Alabama!!Estimate","Alabama!!Margin of Error","Alabama!!Percent","Alabama!!Percent Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Alaska!!Percent","Alaska!!Percent Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arizona!!Percent","Arizona!!Percent Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","Arkansas!!Percent","Arkansas!!Percent Margin of Error","California!!Estimate","California!!Margin of Error","California!!Percent","California!!Percent Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Colorado!!Percent","Colorado!!Percent Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Connecticut!!Percent","Connecticut!!Percent Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","Delaware!!Percent","Delaware!!Percent Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","District of Columbia!!Percent","District of Columbia!!Percent Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Florida!!Percent","Florida!!Percent Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Georgia!!Percent","Georgia!!Percent Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Hawaii!!Percent","Hawaii!!Percent Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Idaho!!Percent","Idaho!!Percent Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Illinois!!Percent","Illinois!!Percent Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Indiana!!Percent","Indiana!!Percent Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Iowa!!Percent","Iowa!!Percent Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kansas!!Percent","Kansas!!Percent Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Kentucky!!Percent","Kentucky!!Percent Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Louisiana!!Percent","Louisiana!!Percent Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maine!!Percent","Maine!!Percent Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Maryland!!Percent","Maryland!!Percent Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Michigan!!Percent","Michigan!!Percent Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Minnesota!!Percent","Minnesota!!Percent Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Mississippi!!Percent","Mississippi!!Percent Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Missouri!!Percent","Missouri!!Percent Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Montana!!Percent","Montana!!Percent Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nebraska!!Percent","Nebraska!!Percent Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","Nevada!!Percent","Nevada!!Percent Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Hampshire!!Percent","New Hampshire!!Percent Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Jersey!!Percent","New Jersey!!Percent Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New Mexico!!Percent","New Mexico!!Percent Margin of Error","New York!!Estimate","New York!!Margin of Error","New York!!Percent","New York!!Percent Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Carolina!!Percent","North Carolina!!Percent Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","North Dakota!!Percent","North Dakota!!Percent Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Ohio!!Percent","Ohio!!Percent Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oklahoma!!Percent","Oklahoma!!Percent Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Oregon!!Percent","Oregon!!Percent Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Pennsylvania!!Percent","Pennsylvania!!Percent Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","Rhode Island!!Percent","Rhode Island!!Percent Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Carolina!!Percent","South Carolina!!Percent Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","South Dakota!!Percent","South Dakota!!Percent Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Tennessee!!Percent","Tennessee!!Percent Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Texas!!Percent","Texas!!Percent Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Utah!!Percent","Utah!!Percent Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Vermont!!Percent","Vermont!!Percent Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Virginia!!Percent","Virginia!!Percent Margin of Error","Washington!!Estimate","Washington!!Margin of Error","Washington!!Percent","Washington!!Percent Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","West Virginia!!Percent","West Virginia!!Percent Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wisconsin!!Percent","Wisconsin!!Percent Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Wyoming!!Percent","Wyoming!!Percent Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error","Puerto Rico!!Percent","Puerto Rico!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total households","127,544,730","±97,632","127,544,730","(X)","1,967,559","±10,527","1,967,559","(X)","271,311","±3,313","271,311","(X)","2,817,723","±10,850","2,817,723","(X)","1,183,675","±7,882","1,183,675","(X)","13,429,063","±19,170","13,429,063","(X)","2,313,042","±8,099","2,313,042","(X)","1,428,313","±5,900","1,428,313","(X)","395,656","±4,126","395,656","(X)","319,565","±3,541","319,565","(X)","8,565,329","±25,039","8,565,329","(X)","4,001,109","±12,817","4,001,109","(X)","490,080","±5,054","490,080","(X)","693,882","±4,348","693,882","(X)","4,991,641","±12,428","4,991,641","(X)","2,680,694","±9,238","2,680,694","(X)","1,300,467","±6,514","1,300,467","(X)","1,159,026","±5,714","1,159,026","(X)","1,785,682","±8,799","1,785,682","(X)","1,783,924","±7,696","1,783,924","(X)","593,626","±5,251","593,626","(X)","2,355,652","±6,143","2,355,652","(X)","2,759,018","±9,086","2,759,018","(X)","4,051,798","±10,574","4,051,798","(X)","2,281,033","±6,734","2,281,033","(X)","1,129,611","±8,212","1,129,611","(X)","2,468,726","±10,224","2,468,726","(X)","448,949","±4,159","448,949","(X)","785,982","±4,212","785,982","(X)","1,191,380","±6,445","1,191,380","(X)","548,026","±4,691","548,026","(X)","3,497,945","±8,126","3,497,945","(X)","834,007","±4,770","834,007","(X)","7,652,666","±17,305","7,652,666","(X)","4,179,632","±15,192","4,179,632","(X)","322,511","±3,883","322,511","(X)","4,832,922","±10,937","4,832,922","(X)","1,547,967","±6,458","1,547,967","(X)","1,702,599","±8,524","1,702,599","(X)","5,228,956","±12,804","5,228,956","(X)","440,170","±4,169","440,170","(X)","2,049,972","±10,471","2,049,972","(X)","356,887","±3,371","356,887","(X)","2,770,395","±8,851","2,770,395","(X)","10,796,247","±19,104","10,796,247","(X)","1,101,499","±5,112","1,101,499","(X)","270,163","±3,018","270,163","(X)","3,331,461","±10,153","3,331,461","(X)","3,022,255","±9,423","3,022,255","(X)","722,201","±5,460","722,201","(X)","2,449,970","±6,685","2,449,970","(X)","242,763","±2,909","242,763","(X)","","","",""
"        Married-couple household","60,360,084","±126,162","47.3%","±0.1","904,392","±12,967","46.0%","±0.6","129,937","±4,657","47.9%","±1.6","1,344,242","±13,298","47.7%","±0.4","565,893","±9,698","47.8%","±0.7","6,517,082","±32,617","48.5%","±0.2","1,124,072","±11,304","48.6%","±0.5","664,848","±9,537","46.5%","±0.7","186,477","±5,444","47.1%","±1.3","77,478","±4,026","24.2%","±1.2","3,975,785","±33,191","46.4%","±0.4","1,881,572","±20,252","47.0%","±0.5","248,069","±6,228","50.6%","±1.2","385,704","±9,028","55.6%","±1.2","2,300,396","±16,197","46.1%","±0.3","1,285,451","±15,833","48.0%","±0.6","638,989","±9,974","49.1%","±0.7","574,260","±9,505","49.5%","±0.8","850,400","±12,766","47.6%","±0.7","756,880","±14,249","42.4%","±0.8","288,115","±6,208","48.5%","±1.0","1,108,456","±13,370","47.1%","±0.6","1,268,347","±17,045","46.0%","±0.6","1,875,558","±13,518","46.3%","±0.3","1,122,121","±11,359","49.2%","±0.5","498,803","±11,836","44.2%","±1.0","1,176,418","±14,293","47.7%","±0.5","219,056","±6,387","48.8%","±1.3","391,102","±7,060","49.8%","±0.8","522,193","±9,298","43.8%","±0.8","286,604","±6,233","52.3%","±1.2","1,763,645","±15,389","50.4%","±0.4","357,938","±8,915","42.9%","±1.0","3,268,729","±24,181","42.7%","±0.3","1,976,957","±18,448","47.3%","±0.4","148,550","±5,161","46.1%","±1.6","2,162,168","±17,915","44.7%","±0.4","731,871","±8,318","47.3%","±0.5","806,612","±10,630","47.4%","±0.6","2,449,955","±18,363","46.9%","±0.3","194,722","±6,147","44.2%","±1.3","964,209","±13,879","47.0%","±0.6","175,003","±4,128","49.0%","±1.2","1,303,575","±12,662","47.1%","±0.5","5,341,490","±36,266","49.5%","±0.3","652,738","±9,121","59.3%","±0.8","130,749","±3,905","48.4%","±1.4","1,629,590","±14,724","48.9%","±0.4","1,503,723","±15,235","49.8%","±0.5","345,572","±8,188","47.8%","±1.1","1,162,694","±10,455","47.5%","±0.4","120,894","±4,209","49.8%","±1.7","","","",""
"            With children of the householder under 18 years","22,870,106","±69,140","17.9%","±0.1","315,044","±8,948","16.0%","±0.4","54,040","±3,998","19.9%","±1.5","481,850","±9,700","17.1%","±0.3","210,423","±7,039","17.8%","±0.6","2,675,550","±22,439","19.9%","±0.2","436,967","±9,540","18.9%","±0.4","249,151","±7,569","17.4%","±0.5","59,382","±3,549","15.0%","±0.9","29,726","±2,849","9.3%","±0.9","1,258,053","±21,425","14.7%","±0.2","723,880","±15,641","18.1%","±0.4","89,563","±4,065","18.3%","±0.8","155,256","±6,349","22.4%","±0.9","899,109","±11,420","18.0%","±0.2","485,054","±9,903","18.1%","±0.4","245,077","±6,188","18.8%","±0.5","228,350","±6,828","19.7%","±0.6","311,130","±8,235","17.4%","±0.5","274,077","±10,616","15.4%","±0.6","90,280","±3,770","15.2%","±0.6","437,556","±10,087","18.6%","±0.4","488,576","±9,480","17.7%","±0.3","661,683","±9,984","16.3%","±0.2","440,748","±6,748","19.3%","±0.3","175,706","±6,353","15.6%","±0.5","424,177","±9,730","17.2%","±0.4","73,080","±4,552","16.3%","±1.0","155,350","±4,484","19.8%","±0.5","199,149","±6,697","16.7%","±0.6","95,130","±4,342","17.4%","±0.8","730,036","±9,719","20.9%","±0.3","122,196","±6,363","14.7%","±0.7","1,230,527","±15,134","16.1%","±0.2","709,735","±12,740","17.0%","±0.3","56,211","±3,397","17.4%","±1.0","779,786","±13,876","16.1%","±0.3","281,778","±6,416","18.2%","±0.4","292,978","±8,005","17.2%","±0.5","859,632","±9,761","16.4%","±0.2","66,577","±3,931","15.1%","±0.9","322,509","±9,256","15.7%","±0.4","66,802","±3,156","18.7%","±0.9","462,798","±9,642","16.7%","±0.3","2,328,411","±27,754","21.6%","±0.2","313,066","±7,916","28.4%","±0.7","41,872","±2,339","15.5%","±0.8","638,761","±10,087","19.2%","±0.3","577,001","±10,526","19.1%","±0.3","106,334","±4,485","14.7%","±0.6","412,950","±7,721","16.9%","±0.3","47,029","±3,018","19.4%","±1.3","","","",""
"        Cohabiting couple household","9,195,007","±55,379","7.2%","±0.1","94,567","±5,413","4.8%","±0.3","23,138","±2,256","8.5%","±0.8","241,740","±10,462","8.6%","±0.4","73,696","±5,729","6.2%","±0.5","1,062,546","±19,401","7.9%","±0.1","176,588","±7,066","7.6%","±0.3","104,776","±5,358","7.3%","±0.4","25,317","±2,970","6.4%","±0.7","24,923","±2,653","7.8%","±0.8","639,028","±15,636","7.5%","±0.2","245,479","±10,997","6.1%","±0.3","37,574","±3,056","7.7%","±0.6","44,869","±4,231","6.5%","±0.6","344,661","±10,010","6.9%","±0.2","205,958","±7,761","7.7%","±0.3","98,926","±5,277","7.6%","±0.4","72,601","±4,348","6.3%","±0.4","127,250","±5,582","7.1%","±0.3","119,770","±6,812","6.7%","±0.4","54,360","±4,144","9.2%","±0.7","146,484","±6,260","6.2%","±0.3","213,480","±7,734","7.7%","±0.3","298,680","±8,518","7.4%","±0.2","192,913","±5,552","8.5%","±0.2","52,959","±4,848","4.7%","±0.4","173,855","±7,578","7.0%","±0.3","37,322","±3,419","8.3%","±0.8","51,342","±3,540","6.5%","±0.4","108,887","±5,726","9.1%","±0.5","48,877","±3,728","8.9%","±0.7","237,482","±8,605","6.8%","±0.2","69,083","±4,775","8.3%","±0.6","568,652","±13,587","7.4%","±0.2","269,345","±9,193","6.4%","±0.2","23,393","±2,693","7.3%","±0.8","379,155","±11,563","7.8%","±0.2","101,645","±4,541","6.6%","±0.3","152,647","±7,000","9.0%","±0.4","390,547","±9,871","7.5%","±0.2","37,411","±3,584","8.5%","±0.8","119,589","±6,491","5.8%","±0.3","26,844","±3,052","7.5%","±0.8","183,064","±7,829","6.6%","±0.3","675,547","±17,699","6.3%","±0.2","57,769","±3,960","5.2%","±0.4","28,929","±2,549","10.7%","±0.9","208,214","±6,859","6.2%","±0.2","260,709","±10,088","8.6%","±0.3","45,948","±3,574","6.4%","±0.5","200,002","±6,025","8.2%","±0.2","16,466","±2,080","6.8%","±0.9","","","",""
"            With children of the householder under 18 years","2,933,896","±34,880","2.3%","±0.1","33,536","±3,386","1.7%","±0.2","6,858","±1,234","2.5%","±0.5","83,037","±6,240","2.9%","±0.2","26,630","±3,375","2.2%","±0.3","373,036","±11,086","2.8%","±0.1","39,208","±3,949","1.7%","±0.2","31,427","±3,388","2.2%","±0.2","7,425","±1,706","1.9%","±0.4","2,207","±864","0.7%","±0.3","197,694","±10,006","2.3%","±0.1","81,914","±5,736","2.0%","±0.1","11,796","±1,892","2.4%","±0.4","14,554","±2,333","2.1%","±0.3","109,519","±5,280","2.2%","±0.1","66,785","±4,440","2.5%","±0.2","32,839","±2,803","2.5%","±0.2","27,854","±3,012","2.4%","±0.3","41,007","±3,950","2.3%","±0.2","47,486","±4,289","2.7%","±0.2","13,827","±2,065","2.3%","±0.3","45,201","±3,504","1.9%","±0.1","52,650","±4,394","1.9%","±0.2","95,576","±5,602","2.4%","±0.1","57,729","±3,722","2.5%","±0.2","22,204","±3,372","2.0%","±0.3","54,383","±3,969","2.2%","±0.2","10,190","±2,003","2.3%","±0.4","17,434","±1,986","2.2%","±0.3","37,329","±3,580","3.1%","±0.3","12,794","±2,125","2.3%","±0.4","78,181","±5,801","2.2%","±0.2","26,013","±3,102","3.1%","±0.4","164,023","±8,558","2.1%","±0.1","87,092","±6,295","2.1%","±0.2","8,215","±1,739","2.5%","±0.5","119,831","±6,484","2.5%","±0.1","36,414","±2,935","2.4%","±0.2","42,930","±3,920","2.5%","±0.2","118,639","±5,648","2.3%","±0.1","10,032","±1,980","2.3%","±0.5","39,193","±4,493","1.9%","±0.2","7,905","±1,245","2.2%","±0.3","56,417","±4,951","2.0%","±0.2","243,899","±11,600","2.3%","±0.1","17,938","±2,250","1.6%","±0.2","6,882","±1,266","2.5%","±0.5","62,967","±4,627","1.9%","±0.1","74,593","±5,059","2.5%","±0.2","13,707","±2,228","1.9%","±0.3","60,601","±3,572","2.5%","±0.1","4,295","±1,257","1.8%","±0.5","","","",""
"        Male householder, no spouse/partner present","23,109,048","±71,270","18.1%","±0.1","365,322","±9,470","18.6%","±0.5","55,561","±3,070","20.5%","±1.1","514,665","±10,513","18.3%","±0.4","212,225","±7,833","17.9%","±0.6","2,348,538","±23,715","17.5%","±0.2","459,400","±8,948","19.9%","±0.4","244,917","±6,855","17.1%","±0.5","67,441","±4,012","17.0%","±1.0","83,924","±3,486","26.3%","±1.0","1,530,822","±22,576","17.9%","±0.3","681,618","±15,083","17.0%","±0.4","84,975","±4,722","17.3%","±0.9","114,278","±5,153","16.5%","±0.7","943,878","±13,320","18.9%","±0.2","488,334","±10,228","18.2%","±0.4","246,436","±6,485","18.9%","±0.5","220,557","±6,126","19.0%","±0.5","327,441","±8,744","18.3%","±0.5","338,230","±8,855","19.0%","±0.5","101,221","±3,960","17.1%","±0.6","404,004","±9,127","17.2%","±0.4","482,874","±12,381","17.5%","±0.4","766,837","±10,218","18.9%","±0.2","415,942","±7,869","18.2%","±0.3","209,791","±7,930","18.6%","±0.7","445,101","±8,557","18.0%","±0.3","90,443","±4,398","20.1%","±0.9","145,264","±5,070","18.5%","±0.6","249,013","±6,797","20.9%","±0.6","90,451","±4,477","16.5%","±0.8","561,053","±10,357","16.0%","±0.3","167,768","±6,340","20.1%","±0.7","1,445,428","±16,839","18.9%","±0.2","726,357","±12,388","17.4%","±0.3","77,595","±3,608","24.1%","±1.0","919,150","±13,204","19.0%","±0.3","289,807","±6,087","18.7%","±0.4","312,293","±8,166","18.3%","±0.5","946,950","±13,799","18.1%","±0.3","82,535","±4,857","18.8%","±1.1","355,959","±10,289","17.4%","±0.5","69,780","±3,532","19.6%","±0.9","498,271","±11,179","18.0%","±0.4","1,925,533","±25,886","17.8%","±0.2","172,178","±5,825","15.6%","±0.5","43,323","±2,585","16.0%","±0.9","583,315","±12,406","17.5%","±0.4","542,988","±12,025","18.0%","±0.4","134,070","±5,802","18.6%","±0.8","474,573","±7,500","19.4%","±0.3","50,619","±3,233","20.9%","±1.3","","","",""
"            With children of the householder under 18 years","1,572,727","±24,831","1.2%","±0.1","23,223","±3,266","1.2%","±0.2","4,229","±926","1.6%","±0.3","39,501","±3,561","1.4%","±0.1","17,892","±3,052","1.5%","±0.3","169,211","±8,257","1.3%","±0.1","33,358","±2,995","1.4%","±0.1","15,435","±2,381","1.1%","±0.2","5,125","±1,433","1.3%","±0.4","1,862","±853","0.6%","±0.3","94,662","±6,711","1.1%","±0.1","50,834","±5,289","1.3%","±0.1","4,501","±947","0.9%","±0.2","13,381","±2,356","1.9%","±0.3","57,826","±4,098","1.2%","±0.1","32,550","±3,193","1.2%","±0.1","17,053","±2,185","1.3%","±0.2","17,292","±2,242","1.5%","±0.2","24,421","±3,592","1.4%","±0.2","25,630","±3,198","1.4%","±0.2","6,614","±1,292","1.1%","±0.2","28,181","±2,983","1.2%","±0.1","26,715","±2,932","1.0%","±0.1","52,835","±3,637","1.3%","±0.1","28,222","±2,968","1.2%","±0.1","11,917","±2,174","1.1%","±0.2","31,234","±3,055","1.3%","±0.1","6,165","±1,376","1.4%","±0.3","11,413","±1,849","1.5%","±0.2","19,467","±2,478","1.6%","±0.2","6,480","±1,476","1.2%","±0.3","29,933","±3,907","0.9%","±0.1","14,556","±2,617","1.7%","±0.3","76,996","±5,952","1.0%","±0.1","45,635","±4,242","1.1%","±0.1","5,174","±1,661","1.6%","±0.5","60,618","±4,392","1.3%","±0.1","24,642","±2,478","1.6%","±0.2","22,449","±3,290","1.3%","±0.2","59,024","±4,092","1.1%","±0.1","4,034","±1,251","0.9%","±0.3","22,295","±3,320","1.1%","±0.2","5,145","±1,050","1.4%","±0.3","31,404","±3,476","1.1%","±0.1","147,996","±9,995","1.4%","±0.1","13,997","±2,249","1.3%","±0.2","3,232","±1,112","1.2%","±0.4","42,518","±3,956","1.3%","±0.1","36,358","±3,776","1.2%","±0.1","7,193","±1,442","1.0%","±0.2","37,774","±3,274","1.5%","±0.1","4,525","±1,414","1.9%","±0.6","","","",""
"            Householder living alone","16,359,032","±66,229","12.8%","±0.1","272,479","±8,436","13.8%","±0.4","40,000","±2,878","14.7%","±1.0","347,338","±10,401","12.3%","±0.4","152,953","±6,534","12.9%","±0.5","1,453,170","±21,121","10.8%","±0.2","316,240","±7,800","13.7%","±0.3","177,429","±6,343","12.4%","±0.4","47,451","±3,572","12.0%","±0.9","68,685","±3,494","21.5%","±1.1","1,067,779","±19,131","12.5%","±0.2","471,040","±13,081","11.8%","±0.3","58,598","±3,964","12.0%","±0.8","77,839","±4,940","11.2%","±0.7","694,594","±12,046","13.9%","±0.2","363,782","±10,161","13.6%","±0.4","188,423","±6,435","14.5%","±0.5","161,506","±5,737","13.9%","±0.5","233,504","±8,372","13.1%","±0.5","245,857","±8,898","13.8%","±0.5","76,771","±3,919","12.9%","±0.6","282,848","±7,954","12.0%","±0.3","332,152","±10,787","12.0%","±0.4","562,104","±10,842","13.9%","±0.3","309,146","±7,360","13.6%","±0.3","155,651","±7,997","13.8%","±0.7","331,029","±8,843","13.4%","±0.3","66,016","±3,421","14.7%","±0.8","109,131","±4,697","13.9%","±0.6","168,183","±6,370","14.1%","±0.5","64,679","±3,788","11.8%","±0.7","398,170","±9,471","11.4%","±0.3","123,191","±5,826","14.8%","±0.7","1,030,178","±17,301","13.5%","±0.2","534,628","±10,109","12.8%","±0.2","58,124","±3,430","18.0%","±1.0","694,807","±11,772","14.4%","±0.2","207,406","±6,181","13.4%","±0.4","216,855","±7,040","12.7%","±0.4","708,190","±13,154","13.5%","±0.3","58,105","±4,450","13.2%","±1.0","260,976","±9,175","12.7%","±0.4","52,452","±3,162","14.7%","±0.9","359,546","±10,036","13.0%","±0.4","1,319,936","±21,301","12.2%","±0.2","108,678","±5,702","9.9%","±0.5","32,879","±2,444","12.2%","±0.9","415,076","±10,373","12.5%","±0.3","391,257","±10,210","12.9%","±0.3","99,223","±4,938","13.7%","±0.7","353,928","±7,160","14.4%","±0.3","39,050","±2,885","16.1%","±1.2","","","",""
"                65 years and over","4,814,086","±32,289","3.8%","±0.1","77,933","±4,303","4.0%","±0.2","11,092","±1,432","4.1%","±0.5","111,947","±4,483","4.0%","±0.2","47,909","±2,524","4.0%","±0.2","438,015","±9,590","3.3%","±0.1","79,671","±4,225","3.4%","±0.2","58,033","±3,288","4.1%","±0.2","15,499","±1,691","3.9%","±0.4","13,671","±1,629","4.3%","±0.5","380,849","±9,986","4.4%","±0.1","125,040","±5,820","3.1%","±0.1","19,715","±2,494","4.0%","±0.5","28,121","±2,930","4.1%","±0.4","197,222","±6,386","4.0%","±0.1","94,942","±5,071","3.5%","±0.2","53,042","±2,945","4.1%","±0.2","46,666","±2,581","4.0%","±0.2","69,355","±4,379","3.9%","±0.2","71,394","±3,824","4.0%","±0.2","24,928","±1,955","4.2%","±0.3","78,866","±3,698","3.3%","±0.2","102,728","±4,784","3.7%","±0.2","170,135","±4,601","4.2%","±0.1","89,447","±3,946","3.9%","±0.2","48,047","±3,355","4.3%","±0.3","95,770","±4,200","3.9%","±0.2","22,274","±1,994","5.0%","±0.5","30,860","±2,307","3.9%","±0.3","52,375","±3,236","4.4%","±0.3","21,631","±1,943","3.9%","±0.4","126,373","±4,343","3.6%","±0.1","38,288","±3,038","4.6%","±0.4","314,704","±8,075","4.1%","±0.1","146,400","±5,715","3.5%","±0.1","12,846","±1,286","4.0%","±0.4","208,842","±6,794","4.3%","±0.1","61,311","±2,648","4.0%","±0.2","67,941","±3,652","4.0%","±0.2","228,479","±6,837","4.4%","±0.1","17,874","±1,987","4.1%","±0.4","78,505","±4,297","3.8%","±0.2","15,296","±1,499","4.3%","±0.4","105,086","±5,082","3.8%","±0.2","309,866","±8,946","2.9%","±0.1","27,143","±2,590","2.5%","±0.2","11,169","±1,234","4.1%","±0.5","117,674","±4,295","3.5%","±0.1","101,954","±4,420","3.4%","±0.1","34,058","±2,619","4.7%","±0.4","102,163","±3,625","4.2%","±0.1","10,937","±1,348","4.5%","±0.6","","","",""
